,id do pedido,Origem,Destino
0,192756,03134-001,04310-040
1,192828,03989-010,13835-000
2,192943,03622-010,13484-447
3,192955,03622-010,13425-107
4,193119,12010-150,04844-090
5,193128,12010-150,16330-000
6,193129,03989-010,12230-075
7,193144,03622-010,02334-001
8,193182,03622-010,14640-000
9,193195,03345-000,15809-090
10,193197,03622-010,15809-090
11,193237,03622-010,17521-530
12,193255,12010-150,27332-085
13,193286,12010-150,13425-107
14,193289,13070-752,13034-150
15,193538,03622-010,13563-150
16,193567,03622-010,13271-130
17,193574,03989-010,12230-075
18,193671,04715-002,12070-630
19,193722,12010-150,12570-000
20,193801,03711-007,17511-250
21,193878,03345-000,06620-000
22,193890,12010-150,07230-260
23,194061,18050-000,06716-155
24,194069,12010-150,04135-001
25,194109,03622-010,18401-000
26,194127,14701-550,37706-251
27,194209,03622-010,08441-040
28,194333,12010-150,17340-000
29,194334,12010-150,08475-460
30,194422,03622-010,09550-590
31,194531,03622-010,13315-000
32,194815,03989-010,17014-300
33,194894,06703-001,01239-020
34,194919,14701-550,19360-000
35,195124,04344-010,04115-040
36,195128,12010-150,17340-000
37,195250,09351-090,03182-070
38,195262,04715-002,06713-150
39,195291,03622-010,09930-450
40,195359,03622-010,17340-000
41,195503,12010-150,03666-060
42,195504,12010-150,03666-060
43,195505,12010-150,03666-060
44,195506,12010-150,03666-060
45,195509,12010-150,03666-060
46,195598,14701-550,13860-000
47,195714,03134-001,12460-000
48,195742,02721-200,17211-593
49,195960,14701-550,18055-051
50,195984,03622-010,09781-230
51,196428,12010-150,03821-030
52,196429,12010-150,03821-030
53,196577,12010-150,18276-700
54,196580,04715-002,14110-000
55,196787,03622-010,11015-003
56,196989,04715-002,18550-000
57,197016,12010-150,13425-107
58,197175,03989-010,13214-800
59,197553,14405-268,03669-040
60,197667,13070-752,03436-000
61,197673,03622-010,12514-080
62,197852,14701-550,12514-080
63,197885,06343-510,08255-010
64,197927,04133-200,17340-000
65,197959,09351-090,14600-000
66,197967,03622-010,13252-579
67,198010,04344-010,05399-020
68,198127,12010-150,05360-150
69,198212,03345-000,13425-107
70,198260,12090-600,09190-670
71,198303,02721-200,09831-410
72,198361,03622-010,13088-658
73,198450,14405-268,02611-003
74,198520,03622-010,06826-510
75,198716,12010-150,13177-413
76,198758,12010-150,12490-000
77,198847,03622-010,06075-180
78,198991,04715-002,07085-410
79,199043,03526-000,13280-083
80,199092,04715-002,18550-000
81,199345,02721-200,11680-000
82,199439,04715-002,13860-000
83,199440,03622-010,17050-621
84,199469,12010-150,07903-055
85,199540,02552-000,17050-621
86,199572,06075-180,08593-120
87,199670,14701-550,17050-621
88,199698,14701-550,09270-530
89,199743,05835-005,12328-516
90,199744,03622-010,13219-855
91,199755,12010-150,02755-000
92,199756,13070-752,14270-000
93,199864,03622-010,08257-010
94,199918,12010-150,09050-210
95,199921,03989-010,09050-210
96,200103,14701-550,18274-017
97,200120,19800-130,03203-010
98,200416,12010-150,18040-000
99,200647,03622-010,13088-658
100,200648,13403-000,13252-579
101,200743,04160-120,02857-000
102,200764,14405-268,13181-720
103,201338,12010-150,17506-280
104,201397,04715-002,13310-140
105,201773,12010-150,02461-000
106,202006,12010-150,04530-090
107,202418,12010-150,04543-000
108,202597,04715-002,09290560
109,202697,05075-060,12460-000
110,202769,13301-909,13425-107
111,202907,06075-180,13025-151
112,203078,12010-150,13453180
113,203297,14701-550,12929-169
114,203303,03622-010,13088-658
115,203371,04715-002,18276710
116,203375,03526-000,04475-490
117,204286,13360-000,04474-220
118,204333,03526-000,12929-540
119,204351,12010-150,05857480
120,204447,12010-150,14070090
121,204496,12010-150,05657230
122,204533,03526-000,12245-481
123,204581,14701-550,11075-430
124,204691,04344-010,11680-000
125,204938,13101-150,04185-150
126,205110,03526-000,12236-160
127,205386,03526-000,09321-410
128,195836,23073-200,26317-180
129,199968,23073-200,28605-470
130,193087,12010-150,04157-060
131,193044,03526-000,07786-575
132,193213,09540-030,37701-171
133,193744,12010-150,13484-046
134,193888,12010-150,07230-260
135,194150,14085-620,13502-100
136,194536,03622-010,03821-030
137,194813,04344-010,09185-100
138,194900,03989-010,13216-140
139,195059,03345-000,08255-010
140,195391,04715-002,13085-280
141,195973,04715-002,09760-280
142,196078,03711-007,02078-000
143,196188,03711-007,09110-160
144,196505,04344-010,06711-340
145,196983,14405-268,04950-060
146,196992,12010-150,37701-222
147,197972,03622-010,12308-650
148,198224,13405-230,16700-000
149,198593,14405-268,14810-352
150,198770,04344-010,13076-430
151,198994,04344-010,08230-365
152,199234,12010-150,13064-160
153,199244,04715-002,09530-530
154,199726,12010-150,05843-290
155,200060,13405-230,11421-200
156,202125,03989-010,13203-740
157,202168,12010-150,11740-000
158,203198,03622-010,19280-000
159,203535,14405-268,12308-650
160,203648,04456-142,04892-140
161,204318,13101-150,02377-000
162,204350,04715-002,04310050
163,204618,13070-752,12950-360
164,204628,14085-620,04209-003
165,192610,37800-000,38500-000
166,194802,31255-100,35995-000
167,195037,72252-098,71680-368
168,195675,96170-000,90030-140
169,197347,96170-000,92330-390
170,198431,35701-004,38130-000
171,198637,35300-102,36700-000
172,198670,37800-000,39205-000
173,200326,37800-000,32235-130
174,200732,31030-035,35900-372
175,202930,35701-004,36420-000
176,204876,85501-000,85575-000
177,205940,03047-000,08040-250
178,194580,23073-200,24430-150
179,196359,37500-176,04070-070
180,197767,82820-090,80050-520
181,197889,31030-035,35170-306
182,199272,37800-000,37778-000
183,199710,37800-000,31140-410
184,193386,29313-656,29152-287
185,199714,74430-120,71699-138
186,192556,13360-000,15910-000
187,192581,12010-150,01410-020
188,192879,12010-150,12236-063
189,193177,12010-150,11442-190
190,193229,02721-200,13190-000
191,193334,13405-230,03555-070
192,193344,19800-130,01241-010
193,193454,02552-000,15041-506
194,193493,01538-001,09310-735
195,193616,12010-150,17012-226
196,194242,19800-130,12228-780
197,194279,18043-003,08970-000
198,194401,02552-000,07243-430
199,194501,18043-003,13080-010
200,194508,12010-150,03666-060
201,194577,12010-150,03666-060
202,194706,12010-150,03666-060
203,194818,04344-010,13065-270
204,194934,03526-000,13311-530
205,195116,12010-150,17400-000
206,195332,14405-268,05830-250
207,195650,06703-001,03373-090
208,195683,03526-000,04944-050
209,195874,04344-010,37701-249
210,196050,19800-130,04252-020
211,196189,09351-090,09110-160
212,197342,04344-010,12010-160
213,197354,04715-002,01123-010
214,197559,18043-003,09405-510
215,197591,04715-002,02990-100
216,197904,12010-150,13405-061
217,198037,02721-200,07717-215
218,198083,09560-500,16700-000
219,198349,18043-003,02068-050
220,199189,04160-120,18480-000
221,199193,12010-150,06405-035
222,199432,12010-150,11443-725
223,199489,02721-200,17502-430
224,199604,02721-200,12514-080
225,199614,04715-002,03968-010
226,199919,12010-150,09050-210
227,199995,12010-150,12230-083
228,200364,04715-002,19274-000
229,200547,19800-130,14405-271
230,200744,12010-150,09050-210
231,201183,12010-150,02017-000
232,202425,12010-150,07024030
233,202722,04715-002,01510000
234,202899,12010-150,17790000
235,202958,04715-002,02464100
236,203043,12010-150,06263-010
237,203216,02552-000,07190-010
238,203818,18043-003,06341-420
239,204413,02552-000,08616-830
240,205458,03526-000,15020-270
241,200186,23073-200,24812-086
242,194315,35701-004,35400-000
243,195516,39480-000,37778-000
244,196380,90650-002,96540-000
245,198347,31030-035,37778-000
246,198635,39480-000,37778-000
247,199145,37800-000,35148-000
248,203052,35701-004,35148-000
