,Unnamed: 0,id do pedido,Origem,Destino,Distancia
0,0,192756,03134-001,04310-040,10521.2
1,1,192828,03989-010,13835-000,191989.7
2,2,192943,03622-010,13484-447,171230.3
3,3,192955,03622-010,13425-107,182323.0
4,4,193119,12010-150,04844-090,157959.4
5,5,193128,12010-150,16330-000,690615.2
6,6,193129,03989-010,12230-075,89976.4
7,7,193144,03622-010,02334-001,16779.4
8,8,193182,03622-010,14640-000,402025.6
9,9,193195,03345-000,15809-090,392043.1
10,10,193197,03622-010,15809-090,394329.4
11,11,193237,03622-010,17521-530,452402.0
12,12,193255,12010-150,27332-085,180377.7
13,13,193286,12010-150,13425-107,275070.7
14,14,193289,13070-752,13034-150,2777.9
15,15,193538,03622-010,13563-150,253379.0
16,16,193567,03622-010,13271-130,95940.9
17,17,193574,03989-010,12230-075,89976.4
18,18,193671,04715-002,12070-630,152281.4
19,19,193722,12010-150,12570-000,37434.0
20,20,193801,03711-007,17511-250,457279.3
21,21,193878,03345-000,06620-000,43537.1
22,22,193890,12010-150,07230-260,110399.5
23,23,194061,18050-000,06716-155,89793.1
24,24,194069,12010-150,04135-001,135084.6
25,25,194109,03622-010,18401-000,298348.4
26,26,194127,14701-550,37706-251,278627.7
27,27,194209,03622-010,08441-040,13639.3
28,28,194333,12010-150,17340-000,415549.7
29,29,194334,12010-150,08475-460,123122.1
30,30,194422,03622-010,09550-590,16959.6
31,31,194531,03622-010,13315-000,95513.2
32,32,194815,03989-010,17014-300,346414.7
33,33,194894,06703-001,01239-020,31494.0
34,34,194919,14701-550,19360-000,424275.8
35,35,195124,04344-010,04115-040,6797.8
36,36,195128,12010-150,17340-000,415549.7
37,37,195250,09351-090,03182-070,27190.4
38,38,195262,04715-002,06713-150,27052.6
39,39,195291,03622-010,09930-450,26748.1
40,40,195359,03622-010,17340-000,303008.0
41,41,195503,12010-150,03666-060,121296.6
42,42,195504,12010-150,03666-060,121296.6
43,43,195505,12010-150,03666-060,121296.6
44,44,195506,12010-150,03666-060,121296.6
45,45,195509,12010-150,03666-060,121296.6
46,46,195598,14701-550,13860-000,229855.5
47,47,195714,03134-001,12460-000,191540.3
48,48,195742,02721-200,17211-593,292096.0
49,49,195960,14701-550,18055-051,354543.8
50,50,195984,03622-010,09781-230,30427.1
51,51,196428,12010-150,03821-030,119531.3
52,52,196429,12010-150,03821-030,119531.3
53,53,196577,12010-150,18276-700,270281.6
54,54,196580,04715-002,14110-000,315505.5
55,55,196787,03622-010,11015-003,86770.9
56,56,196989,04715-002,18550-000,120751.1
57,57,197016,12010-150,13425-107,275070.7
58,58,197175,03989-010,13214-800,86351.9
59,59,197553,14405-268,03669-040,411067.2
60,60,197667,13070-752,03436-000,109562.2
61,61,197673,03622-010,12514-080,175906.0
62,62,197852,14701-550,12514-080,529409.7
63,63,197885,06343-510,08255-010,51408.6
64,64,197927,04133-200,17340-000,297351.7
65,65,197959,09351-090,14600-000,416436.7
66,66,197967,03622-010,13252-579,92725.3
67,67,198010,04344-010,05399-020,19765.5
68,68,198127,12010-150,05360-150,145462.5
69,69,198212,03345-000,13425-107,180036.7
70,70,198260,12090-600,09190-670,152104.6
71,71,198303,02721-200,09831-410,43063.7
72,72,198361,03622-010,13088-658,115316.6
73,73,198450,14405-268,02611-003,396674.9
74,74,198520,03622-010,06826-510,49433.0
75,75,198716,12010-150,13177-413,211584.1
76,76,198758,12010-150,12490-000,66489.7
77,77,198847,03622-010,06075-180,35155.9
78,78,198991,04715-002,07085-410,36819.8
79,79,199043,03526-000,13280-083,93043.7
80,80,199092,04715-002,18550-000,120751.1
81,81,199345,02721-200,11680-000,241296.1
82,82,199439,04715-002,13860-000,206896.1
83,83,199440,03622-010,17050-621,341107.6
84,84,199469,12010-150,07903-055,171918.3
85,85,199540,02552-000,17050-621,325196.0
86,86,199572,06075-180,08593-120,63583.0
